id,sexo,zona,macrozona,region,edad,p1_anyo,p1_mes,p2,p3,p4,p5,p6,p7,p8,p9_1,p9_2,p9_3,p9_4,p9_5
1225,2,2,3,8,33,1982,10,8,1,3,3,8,10,5,8,8,8,8,7
1240,2,2,4,13,50,1965,6,1,1,1,NA,10,10,6,7,8,9,8,7
1241,2,2,4,13,68,1947,6,5,3,NA,NA,6,7,8,8,9,8,8,9
1268,1,1,2,6,56,1959,10,1,3,NA,NA,10,10,10,10,10,10,10,10
1271,2,1,4,13,53,1962,5,8,1,2,2,8,10,10,10,10,8,9,10
1272,2,1,4,13,46,1969,12,1,1,2,1,10,10,5,5,8,8,8,8
1298,2,2,3,8,76,1939,11,5,3,NA,NA,10,10,7,7,10,7,10,5
1307,1,1,1,1,69,1946,10,1,3,NA,NA,10,9,8,9,9,9,7,8
1310,2,1,1,1,44,1971,11,1,1,3,1,7,7,9,9,9,9,9,9
1319,2,2,1,4,64,1951,8,5,3,NA,NA,10,10,10,10,10,10,10,10
1320,1,2,1,4,25,1990,7,5,3,NA,NA,1,10,10,10,10,10,10,10
1321,2,2,2,5,75,1941,2,3,2,1,NA,10,7,8,10,8,10,10,10
1324,1,2,2,5,47,1968,6,5,2,2,1,6,5,10,5,8,10,10,8
1325,2,2,2,5,34,1981,9,4,1,3,2,8,5,9,9,10,10,8,7
1330,2,2,4,13,55,1960,7,1,1,1,NA,10,9,8,8,9,6,9,10
1331,2,2,4,13,19,1996,7,5,3,NA,NA,8,8,5,5,8,6,6,6
1333,1,2,3,8,57,1959,1,7,1,1,NA,6,9,5,10,5,4,4,5
1336,2,2,3,8,70,1945,11,1,1,1,NA,6,8,6,10,10,9,5,10
1346,2,2,3,8,76,1939,12,7,1,1,NA,10,7,8,9,9,8,7,9
1349,1,1,3,10,30,1985,8,1,1,2,1,6,10,10,10,10,10,10,10
1356,2,2,2,5,49,1967,4,8,1,3,1,7,6,10,10,10,6,9,10
1373,2,2,2,5,54,1961,11,1,2,1,NA,8,10,6,7,5,8,8,6
1375,2,2,2,5,22,1994,1,8,1,1,NA,8,8,6,6,8,5,8,5
1395,1,2,3,14,53,1963,3,8,1,3,1,7,8,9,9,9,9,9,9
1404,2,2,2,6,32,1983,10,1,1,3,1,9,9,8,8,9,9,9,8
1405,1,2,2,6,18,1998,3,5,3,NA,NA,8,10,10,10,10,10,10,10
1421,1,2,2,5,35,1980,9,2,1,3,2,7,10,9,9,7,8,7,9
1428,2,2,3,8,60,1956,1,1,1,1,NA,1,1,10,10,10,10,1,10
1430,1,2,3,10,53,1963,1,1,1,3,1,7,8,10,10,10,10,10,10
1457,2,2,3,8,67,1948,9,1,3,NA,NA,5,5,10,5,10,10,9,10
1463,1,1,4,13,57,1958,11,1,3,NA,NA,7,10,10,5,10,5,5,6
1474,2,2,3,8,84,1931,4,5,3,NA,NA,7,10,7,7,6,7,8,5
