date,hits,geo,time,keyword,gprop,category
2018-10-01T00:00:00Z,6,world,all,Stata,web,174
2018-11-01T00:00:00Z,6,world,all,Stata,web,174
2018-12-01T00:00:00Z,5,world,all,Stata,web,174
2019-01-01T00:00:00Z,5,world,all,Stata,web,174
2019-02-01T00:00:00Z,6,world,all,Stata,web,174
2019-03-01T00:00:00Z,5,world,all,Stata,web,174
2019-04-01T00:00:00Z,6,world,all,Stata,web,174
2019-05-01T00:00:00Z,5,world,all,Stata,web,174
2019-06-01T00:00:00Z,5,world,all,Stata,web,174
2019-07-01T00:00:00Z,4,world,all,Stata,web,174
2019-08-01T00:00:00Z,4,world,all,Stata,web,174
2019-09-01T00:00:00Z,5,world,all,Stata,web,174
2019-10-01T00:00:00Z,5,world,all,Stata,web,174
2019-11-01T00:00:00Z,5,world,all,Stata,web,174
2019-12-01T00:00:00Z,4,world,all,Stata,web,174
2020-01-01T00:00:00Z,4,world,all,Stata,web,174
2020-02-01T00:00:00Z,5,world,all,Stata,web,174
2020-03-01T00:00:00Z,5,world,all,Stata,web,174
2004-01-01T00:00:00Z,52,world,all,R,web,174
2004-02-01T00:00:00Z,59,world,all,R,web,174
2004-03-01T00:00:00Z,58,world,all,R,web,174
2004-04-01T00:00:00Z,54,world,all,R,web,174
2004-05-01T00:00:00Z,52,world,all,R,web,174
2004-06-01T00:00:00Z,50,world,all,R,web,174
2004-07-01T00:00:00Z,46,world,all,R,web,174
2004-08-01T00:00:00Z,45,world,all,R,web,174
2004-09-01T00:00:00Z,49,world,all,R,web,174
2004-10-01T00:00:00Z,58,world,all,R,web,174
2004-11-01T00:00:00Z,57,world,all,R,web,174
2004-12-01T00:00:00Z,50,world,all,R,web,174
2005-01-01T00:00:00Z,51,world,all,R,web,174
2005-02-01T00:00:00Z,60,world,all,R,web,174
2005-03-01T00:00:00Z,53,world,all,R,web,174
2005-04-01T00:00:00Z,54,world,all,R,web,174
2005-05-01T00:00:00Z,52,world,all,R,web,174
2005-06-01T00:00:00Z,50,world,all,R,web,174
2005-07-01T00:00:00Z,46,world,all,R,web,174
2005-08-01T00:00:00Z,39,world,all,R,web,174
2005-09-01T00:00:00Z,49,world,all,R,web,174
2005-10-01T00:00:00Z,58,world,all,R,web,174
2005-11-01T00:00:00Z,56,world,all,R,web,174
2005-12-01T00:00:00Z,51,world,all,R,web,174
2006-01-01T00:00:00Z,48,world,all,R,web,174
2006-02-01T00:00:00Z,55,world,all,R,web,174
2006-03-01T00:00:00Z,54,world,all,R,web,174
2006-04-01T00:00:00Z,54,world,all,R,web,174
2006-05-01T00:00:00Z,51,world,all,R,web,174
2006-06-01T00:00:00Z,44,world,all,R,web,174
2006-07-01T00:00:00Z,39,world,all,R,web,174
2006-08-01T00:00:00Z,42,world,all,R,web,174
2006-09-01T00:00:00Z,48,world,all,R,web,174
2006-10-01T00:00:00Z,49,world,all,R,web,174
2006-11-01T00:00:00Z,54,world,all,R,web,174
2006-12-01T00:00:00Z,44,world,all,R,web,174
2007-01-01T00:00:00Z,43,world,all,R,web,174
2007-02-01T00:00:00Z,48,world,all,R,web,174
2007-03-01T00:00:00Z,48,world,all,R,web,174
2007-04-01T00:00:00Z,47,world,all,R,web,174
2007-05-01T00:00:00Z,47,world,all,R,web,174
2007-06-01T00:00:00Z,45,world,all,R,web,174
2007-07-01T00:00:00Z,41,world,all,R,web,174
2007-08-01T00:00:00Z,40,world,all,R,web,174
2007-09-01T00:00:00Z,46,world,all,R,web,174
2007-10-01T00:00:00Z,55,world,all,R,web,174
2007-11-01T00:00:00Z,52,world,all,R,web,174
2007-12-01T00:00:00Z,43,world,all,R,web,174
2008-01-01T00:00:00Z,45,world,all,R,web,174
2008-02-01T00:00:00Z,50,world,all,R,web,174
2008-03-01T00:00:00Z,47,world,all,R,web,174
2008-04-01T00:00:00Z,51,world,all,R,web,174
2008-05-01T00:00:00Z,47,world,all,R,web,174
2008-06-01T00:00:00Z,42,world,all,R,web,174
2008-07-01T00:00:00Z,45,world,all,R,web,174
2008-08-01T00:00:00Z,39,world,all,R,web,174
2008-09-01T00:00:00Z,51,world,all,R,web,174
2008-10-01T00:00:00Z,51,world,all,R,web,174
2008-11-01T00:00:00Z,50,world,all,R,web,174
2008-12-01T00:00:00Z,44,world,all,R,web,174
2009-01-01T00:00:00Z,46,world,all,R,web,174
2009-02-01T00:00:00Z,52,world,all,R,web,174
2009-03-01T00:00:00Z,50,world,all,R,web,174
2009-04-01T00:00:00Z,52,world,all,R,web,174
2009-05-01T00:00:00Z,50,world,all,R,web,174
2009-06-01T00:00:00Z,45,world,all,R,web,174
2009-07-01T00:00:00Z,41,world,all,R,web,174
2009-08-01T00:00:00Z,40,world,all,R,web,174
2009-09-01T00:00:00Z,52,world,all,R,web,174
2009-10-01T00:00:00Z,58,world,all,R,web,174
2009-11-01T00:00:00Z,56,world,all,R,web,174
2009-12-01T00:00:00Z,48,world,all,R,web,174
2010-01-01T00:00:00Z,46,world,all,R,web,174
2010-02-01T00:00:00Z,53,world,all,R,web,174
2010-03-01T00:00:00Z,57,world,all,R,web,174
2010-04-01T00:00:00Z,59,world,all,R,web,174
2010-05-01T00:00:00Z,54,world,all,R,web,174
2010-06-01T00:00:00Z,49,world,all,R,web,174
2010-07-01T00:00:00Z,42,world,all,R,web,174
2010-08-01T00:00:00Z,44,world,all,R,web,174
2010-09-01T00:00:00Z,51,world,all,R,web,174
2010-10-01T00:00:00Z,59,world,all,R,web,174
2010-11-01T00:00:00Z,61,world,all,R,web,174
2010-12-01T00:00:00Z,53,world,all,R,web,174
2011-01-01T00:00:00Z,52,world,all,R,web,174
2011-02-01T00:00:00Z,59,world,all,R,web,174
2011-03-01T00:00:00Z,61,world,all,R,web,174
2011-04-01T00:00:00Z,59,world,all,R,web,174
2011-05-01T00:00:00Z,56,world,all,R,web,174
