date,hits,geo,time,keyword,gprop,category
2019-05-01T00:00:00Z,73,world,all,web scraping,web,0
2019-06-01T00:00:00Z,77,world,all,web scraping,web,0
2019-07-01T00:00:00Z,86,world,all,web scraping,web,0
2019-08-01T00:00:00Z,80,world,all,web scraping,web,0
2019-09-01T00:00:00Z,86,world,all,web scraping,web,0
2019-10-01T00:00:00Z,79,world,all,web scraping,web,0
2019-11-01T00:00:00Z,82,world,all,web scraping,web,0
2019-12-01T00:00:00Z,80,world,all,web scraping,web,0
2020-01-01T00:00:00Z,84,world,all,web scraping,web,0
2020-02-01T00:00:00Z,97,world,all,web scraping,web,0
2020-03-01T00:00:00Z,92,world,all,web scraping,web,0
